TEAM,ABR,W,L,WIN%,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POS,OpFGM,OpFGA,OpFG%,Op3PM,Op3PA,Op3P%,OpFTM,OpFTA,OpFT%,OpOREB,OpDREB,OpREB,OpAST,OpTOV,OpSTL,OpBLK,OpBLKA,OpPF,OpPFD,OpPTS,Year
Atlanta Hawks,ATL,41,41,0.5,118.4,44.6,92.4,48.3,10.8,30.5,35.2,18.5,22.6,81.8,11.2,33.2,44.4,25,12.9,7.1,4.9,5,18.8,19.7,0.3,82,3971,115.5,115.4,0.1,56,1.93,28.9,71.7,50,12.6,54.1,57.9,101.56,50,"8,407",43.8,90.2,48.6,11.9,33.5,35.6,18.6,23.2,80.3,10.6,33.5,44.1,26,14.2,7.5,5,4.9,19.7,18.8,118.1,2023
Boston Celtics,BOS,57,25,0.695,117.9,42.2,88.8,47.5,16,42.6,37.7,17.5,21.6,81.2,9.7,35.6,45.3,26.7,13.4,6.4,5.2,3.9,18.8,19.1,6.5,82,3996,117.3,110.6,6.7,63.2,2,25.5,74.6,50.6,13.3,56.6,60,99.15,53.4,"8,247",41.8,90.2,46.3,11.6,33.7,34.5,16.2,21.1,76.9,9.7,34.3,44,23.1,12.7,6.6,3.9,5.2,19.1,18.8,111.4,2023
Brooklyn Nets,BKN,45,37,0.549,113.4,41.5,85.1,48.7,12.8,33.8,37.8,17.7,22.1,80,8.2,32.3,40.5,25.5,13.7,7.1,6.2,3.9,21.1,18.5,0.9,82,3946,114.6,113.5,1.1,61.6,1.86,23.4,68.9,47.2,13.9,56.2,59.8,98.77,51,"8,111",41,88.5,46.3,11.8,32.2,36.7,18.7,24.4,76.7,11.5,33.6,45.1,23.4,13.7,7,3.9,6.2,18.5,21.1,112.5,2023
Charlotte Hornets,CHA,27,55,0.329,111,41.3,90.4,45.7,10.7,32.5,33,17.6,23.6,74.9,11,33.5,44.5,25.1,14.2,7.7,5.2,5.7,20.3,20.3,-6.2,82,3966,108.4,114.7,-6.3,60.9,1.77,27.6,71.7,49.1,13.9,51.6,55.1,101.47,47.3,"8,390",43,90.1,47.7,12.2,34.3,35.7,19,24,79.5,10.9,35.3,46.2,25.9,14.4,7,5.7,5.2,20.3,20.3,117.2,2023
Chicago Bulls,CHI,40,42,0.488,113.1,42.5,86.8,49,10.4,28.9,36.1,17.6,21.8,80.9,8.5,33.9,42.4,24.5,13.4,7.9,4.5,4.7,18.9,18.7,1.3,82,3981,112.8,111.5,1.3,57.5,1.83,23.6,73.6,49.3,13.3,55,58.7,99.18,51.2,"8,225",40.7,87.1,46.8,13.2,37.1,35.7,17.1,22,77.9,9.6,33.7,43.3,26,15,6.7,4.7,4.5,18.7,18.9,111.8,2023
Cleveland Cavaliers,CLE,51,31,0.622,112.3,41.6,85.2,48.8,11.6,31.6,36.7,17.5,22.5,78,9.7,31.4,41.1,24.9,13.3,7.1,4.7,4.4,19,20.4,5.4,82,3976,115.5,109.9,5.6,60,1.87,27.3,71.5,49.6,13.7,55.6,59,96.27,53.1,"7,972",39,83.5,46.8,11.3,30.6,36.8,17.5,22.4,78.2,9.8,31.5,41.2,23,15.7,7,4.4,4.7,20.4,19,106.9,2023
Dallas Mavericks,DAL,38,44,0.463,114.2,40,84.3,47.5,15.2,41,37.1,19,25.1,75.5,7.6,31.2,38.8,22.9,12.2,6.3,3.7,3.8,20.7,21.8,0.1,82,3986,115.9,116.1,-0.2,57.3,1.88,22.6,71.7,47.1,12.4,56.5,59.9,97.21,48.7,"8,082",41.8,86.2,48.5,11.1,31.7,35.2,19.5,25,78.1,10.1,34.6,44.7,24.9,13.1,6.4,3.8,3.7,21.8,20.7,114.1,2023
Denver Nuggets,DEN,53,29,0.646,115.8,43.6,86.4,50.4,11.8,31.2,37.9,16.8,22.4,75.1,10.1,32.9,43,28.9,14.5,7.5,4.5,4.2,18.6,19.5,3.3,82,3951,116.8,113.5,3.3,66.3,1.99,28.9,72.7,51.4,14.7,57.3,60.1,98.74,52.5,"8,129",41.7,87.4,47.8,11.4,33.1,34.4,17.6,22.7,77.5,10.1,30.7,40.8,25.7,13.5,7.9,4.2,4.5,19.5,18.6,112.5,2023
Detroit Pistons,DET,17,65,0.207,110.3,39.6,87.1,45.4,11.4,32.4,35.1,19.8,25.7,77.1,11.2,31.3,42.4,23,15.1,7,3.8,5.5,22.1,21,-8.2,82,3961,109.9,117.8,-7.9,58.1,1.52,29.2,70.2,49.1,15,52,56.1,99.88,44.9,"8,231",43.1,88.1,48.9,12,33.3,36,20.4,26.2,77.7,11,33.7,44.7,25.8,13.5,7.7,5.5,3.8,21,22.1,118.5,2023
Golden State Warriors,GSW,44,38,0.537,118.9,43.1,90.2,47.9,16.6,43.2,38.5,16,20.2,79.4,10.5,34.1,44.6,29.8,16.3,7.2,4,4,21.4,18.4,1.8,82,3966,115.1,113.4,1.7,69.1,1.83,27.7,71.9,50.2,15.8,57.1,60,102.54,51,"8,472",42.4,90.5,46.8,12.9,35.5,36.4,19.4,25.2,76.9,10.7,32.6,43.3,25.7,14.3,7.9,4,4,18.4,21.4,117.1,2023
